Unit 1,Unit 2,Length of border
29095009400,29095009800,1.495577295
29095009400,29095009900,0.0
29095009500,29095009600,3.170317764
29095009500,29095009700,2.027149224
29095009600,29095009700,2.901186925
29095009600,29095010103,2.213522562
29095009600,29095010201,2.919307936
29095009600,29095017200,3.278323353
29095009600,29095980101,1.18393436
29095009700,29095009800,2.516887801
29095009700,29095010002,0.0
29095009700,29095010103,0.445702121
29095009800,29095009900,2.532303623
29095009800,29095010001,0.0
29095009800,29095010002,1.497405032
29095009800,29095010103,0.0
29095009900,29095010001,1.327463348
29095009900,29095010002,0.0
29095010001,29095010002,2.154961946
29095010001,29095010105,1.306257229
29095010001,29095017300,0.030424383
29095010002,29095010103,2.093074092
29095010002,29095017300,1.543978246
29095010103,29095010201,2.475809189
29095010103,29095010203,0.775494385
29095010103,29095017300,1.608856673
29095010105,29095013407,1.669564634
29095010105,29095013417,0.0
29095010105,29095017300,3.401659946
29095010201,29095010203,2.683884548
29095010201,29095017200,0.31008302
29095010201,29095017400,3.871450997
29095010203,29095010204,4.125862727
29095010203,29095013003,1.265462505
29095010203,29095013100,1.351887195
29095010203,29095013418,0.811533897
29095010203,29095017300,2.090167882
29095010203,29095017400,0.10588106
29095010204,29095013100,2.134445874
29095010204,29095013301,1.540308182
29095010204,29095013401,2.575786994
29095010204,29095013418,2.905162091
29095010500,29095010600,1.351000687
29095010500,29095010702,0.0
29095010500,29095012501,1.671602329
29095010500,29095012600,2.130786586
29095010500,29095012803,0.0
29095010500,29095016300,4.157794219
29095010500,29095017500,3.484479943
29095010500,29095980802,3.219756141
29095010600,29095010702,4.583312317
29095010600,29095012400,1.176930593
29095010600,29095012501,3.919410177
29095010600,29095012502,1.163256622
29095010600,29095980802,0.0
29095010702,29095012100,0.0
29095010702,29095012400,2.2987862
29095010702,29095017000,3.486395843
29095010702,29095980802,2.099978435
29095011001,29095011002,1.179213298
29095011001,29095011100,4.19531592
29095011001,29095015500,2.583317695
29095011001,29095015600,1.922723206
29095011002,29095011100,1.793355561
29095011002,29095011200,0.090622962
29095011002,29095011602,1.054666352
29095011002,29095011701,0.993747574
29095011002,29095011800,1.630096305
29095011002,29095015600,0.849822119
29095011100,29095011200,5.601549422
29095011100,29095015100,3.294151739
29095011200,29095011300,4.00984125
29095011200,29095011601,0.299594604
29095011200,29095011602,1.793411713
29095011200,29095015100,0.85677174
29095011300,29095011405,1.183340158
29095011300,29095011406,2.194412297
29095011300,29095011410,2.350879541
29095011300,29095011502,1.803918612
29095011300,29095011601,0.414820656
29095011300,29095015100,6.345294128
29095011300,29095017700,0.006098457
29095011405,29095011406,1.906793109
29095011405,29095011409,0.773142066
29095011405,29095011410,1.436287335
29095011406,29095011409,3.254493714
29095011406,29095017700,3.045216897
29095011407,29095011408,2.086242074
29095011407,29095011409,2.604996398
29095011407,29095014702,5.412500798
29095011407,29095017700,2.233619331
29095011408,29095011409,1.40017991
29095011408,29095011410,1.882821576
29095011408,29095014604,0.0
29095011408,29095014702,1.054703806
29095011409,29095011410,2.190374775
29095011409,29095017700,3.166300621
29095011410,29095011501,2.647507361
29095011410,29095011502,1.412256423
29095011410,29095012300,0.0
29095011410,29095014604,1.242827373
29095011410,29095014702,0.0
29095011501,29095011502,1.251393536
29095011501,29095011601,2.5137678
29095011501,29095012200,0.0
29095011501,29095012300,2.493976821
29095011501,29095014604,0.0
29095011502,29095011601,1.540842752
29095011601,29095011602,1.866804082
29095011601,29095011701,0.342011217
29095011601,29095011702,2.343796597
29095011601,29095012200,0.862309607
29095011601,29095012300,0.0
